РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Краснодарский край,Абинск,,Судебный участок № 113 Абинского района,MS,Мировой суд,"353320, Краснодарский край, г Абинск, пр-кт Комсомольский, д 83",https://msud113.krd.msudrf.ru/,msud113.krd.msudrf.ru,нет,23MS0113
Краснодарский край,Абинск,,Судебный участок № 114 Абинского района,MS,Мировой суд,"353320, Краснодарский край, г Абинск, пр-кт Комсомольский, д 83",https://msud114.krd.msudrf.ru/,msud114.krd.msudrf.ru,нет,23MS0114
Краснодарский край,Абинск,,Судебный участок № 115 Абинского района,MS,Мировой суд,"353320, Краснодарский край, г Абинск, пр-кт Комсомольский, д 83",https://msud115.krd.msudrf.ru/,msud115.krd.msudrf.ru,нет,23MS0115
Краснодарский край,Абинск,,Судебный участок № 116 Абинского района,MS,Мировой суд,"353320, Краснодарский край, г Абинск, ул Пролетарская, д 65А",https://msud116.krd.msudrf.ru/,msud116.krd.msudrf.ru,нет,23MS0116
Краснодарский край,Анапа,,Судебный участок № 1 г. Анапы,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Парковая, д 82",https://msud1.krd.msudrf.ru/,msud1.krd.msudrf.ru,нет,23MS0001
Краснодарский край,Анапа,,Судебный участок № 117 Анапского района,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Шевченко, д 241",https://msud117.krd.msudrf.ru/,msud117.krd.msudrf.ru,нет,23MS0117
Краснодарский край,Анапа,,Судебный участок № 118 Анапского района,MS,Мировой суд,"353451, Краснодарский край, г Анапа, ул Чехова, д 44",https://msud118.krd.msudrf.ru/,msud118.krd.msudrf.ru,нет,23MS0118
Краснодарский край,Анапа,,Судебный участок № 119 Анапского района,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Шевченко, д 241",https://msud119.krd.msudrf.ru/,msud119.krd.msudrf.ru,нет,23MS0119
Краснодарский край,Анапа,,Судебный участок № 179 г. Анапы,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Парковая, д 82",https://msud273.krd.msudrf.ru/,msud273.krd.msudrf.ru,нет,23MS0273
Краснодарский край,Анапа,,Судебный участок № 2 г. Анапы,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Парковая, д 82",https://msud2.krd.msudrf.ru/,msud2.krd.msudrf.ru,нет,23MS0002
Краснодарский край,Анапа,,Судебный участок № 251 Анапского района,MS,Мировой суд,"353451, Краснодарский край, г Анапа, ул Чехова, д 44",https://msud251.krd.msudrf.ru/,msud251.krd.msudrf.ru,нет,23MS0251
Краснодарский край,Анапа,,Судебный участок № 3 г. Анапы,MS,Мировой суд,"353440, Краснодарский край, г Анапа, ул Парковая, д 82",https://msud3.krd.msudrf.ru/,msud3.krd.msudrf.ru,нет,23MS0003
Краснодарский край,Апшеронск,,Судебный участок № 120 Апшеронского района,MS,Мировой суд,"352690, Краснодарский край, г Апшеронск, ул Ленина, д 112",https://msud120.krd.msudrf.ru/,msud120.krd.msudrf.ru,нет,23MS0120
Краснодарский край,Апшеронск,,Судебный участок № 122 Апшеронского района,MS,Мировой суд,"352690, Краснодарский край, г Апшеронск, ул Ленина, д 112",https://msud122.krd.msudrf.ru/,msud122.krd.msudrf.ru,нет,23MS0122
Краснодарский край,Апшеронск,,Судебный участок № 123 Апшеронского района,MS,Мировой суд,"352690, Краснодарский край, г Апшеронск, ул Ленина, д 121",https://msud123.krd.msudrf.ru/,msud123.krd.msudrf.ru,нет,23MS0123
Краснодарский край,Апшеронск,,Судебный участок № 252 Апшеронского района,MS,Мировой суд,"352690, Краснодарский край, г Апшеронск, ул Ленина, д 112",https://msud252.krd.msudrf.ru/,msud252.krd.msudrf.ru,нет,23MS0252
Краснодарский край,Армавир,,Судебный участок № 10 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud10.krd.msudrf.ru/,msud10.krd.msudrf.ru,нет,23MS0010
Краснодарский край,Армавир,,Судебный участок № 227 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud227.krd.msudrf.ru/,msud227.krd.msudrf.ru,нет,23MS0227
Краснодарский край,Армавир,,Судебный участок № 4 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud4.krd.msudrf.ru/,msud4.krd.msudrf.ru,нет,23MS0004
Краснодарский край,Армавир,,Судебный участок № 5 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud5.krd.msudrf.ru/,msud5.krd.msudrf.ru,нет,23MS0005
Краснодарский край,Армавир,,Судебный участок № 6 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud6.krd.msudrf.ru/,msud6.krd.msudrf.ru,нет,23MS0006
Краснодарский край,Армавир,,Судебный участок № 7 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud7.krd.msudrf.ru/,msud7.krd.msudrf.ru,нет,23MS0007
Краснодарский край,Армавир,,Судебный участок № 8 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud8.krd.msudrf.ru/,msud8.krd.msudrf.ru,нет,23MS0008
Краснодарский край,Армавир,,Судебный участок № 9 г. Армавира,MS,Мировой суд,"352900, Краснодарский край, г Армавир, ул Розы Люксембург, д 146",https://msud9.krd.msudrf.ru/,msud9.krd.msudrf.ru,нет,23MS0009
Краснодарский край,Белая Глина,,Судебный участок № 124 Белоглинского района,MS,Мировой суд,"353040, Краснодарский край, с Белая Глина, ул Красная, д 109",https://msud124.krd.msudrf.ru/,msud124.krd.msudrf.ru,нет,23MS0124
Краснодарский край,Белая Глина,,Судебный участок № 125 Белоглинского района,MS,Мировой суд,"353040, Краснодарский край, с Белая Глина, ул Красная, д 109",https://msud125.krd.msudrf.ru/,msud125.krd.msudrf.ru,нет,23MS0125
