РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Краснодарский край,Абинск,Абинский,Абинский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353320, Краснодарский край, г Абинск, пр-кт Комсомольский, д 108",https://abinsk--krd.sudrf.ru/,abinsk--krd.sudrf.ru,да,23RS0001
Краснодарский край,Анапа,,Анапский городской суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353440, Краснодарский край, г Анапа, ул Ленина, д 6",https://anapa-gor--krd.sudrf.ru/,anapa-gor--krd.sudrf.ru,да,23RS0003
Краснодарский край,Анапа,Анапский,Анапский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353440, Краснодарский край, г Анапа, ул Шевченко, д 241",https://anapa--krd.sudrf.ru/,anapa--krd.sudrf.ru,да,23RS0004
Краснодарский край,Апшеронск,Апшеронский,Апшеронский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","352690, Краснодарский край, г Апшеронск, ул Ленина, д 73",https://apsheronsk--krd.sudrf.ru/,apsheronsk--krd.sudrf.ru,да,23RS0005
Краснодарский край,Армавир,,Армавирский городской суд Краснодарского края,RS,"Районный, городской, межрайонный суд","352901, Краснодарский край, г Армавир, ул Розы Люксембург, д 171, кв 173",https://armavir--krd.sudrf.ru/,armavir--krd.sudrf.ru,да,23RS0006
Краснодарский край,Белая Глина,Белоглинский,Белоглинский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353040, Краснодарский край, с Белая Глина, ул Красная, д 138",https://beloglinsk--krd.sudrf.ru/,beloglinsk--krd.sudrf.ru,да,23RS0007
Краснодарский край,Белореченск,Белореченский,Белореченский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","352630, Краснодарский край, г Белореченск, ул Красная, д 63",https://belorechensk--krd.sudrf.ru/,belorechensk--krd.sudrf.ru,да,23RS0008
Краснодарский край,Брюховецкая,Брюховецкий,Брюховецкий районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","352750, Краснодарский край, ст-ца Брюховецкая, ул Красная, д 189",https://bruxovecky--krd.sudrf.ru/,bruxovecky--krd.sudrf.ru,да,23RS0009
Краснодарский край,Выселки,Выселковский,Выселковский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353100, Краснодарский край, ст-ца Выселки, ул Ленина, д 1",https://viselkovsky--krd.sudrf.ru/,viselkovsky--krd.sudrf.ru,да,23RS0010
Краснодарский край,Геленджик,,Геленджикский городской суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353460, Краснодарский край, г Геленджик, ул Ленина, д 7",https://gelendjik-gor--krd.sudrf.ru/,gelendjik-gor--krd.sudrf.ru,да,23RS0011
Краснодарский край,Горячий Ключ,,Горячеключевской городской суд Краснодарского края,RS,"Районный, городской, межрайонный суд","353292, Краснодарский край, г Горячий Ключ, ул Ленина, д 20",https://gor-kluch--krd.sudrf.ru/,gor-kluch--krd.sudrf.ru,да,23RS0012
Краснодарский край,Гулькевичи,Гулькевичский,Гулькевичский районный суд Краснодарского края,RS,"Районный, городской, межрайонный суд","352190, Краснодарский край, г Гулькевичи, ул Советская, д 11",https://gulkevichi--krd.sudrf.ru/,gulkevichi--krd.sudrf.ru,да,23RS0013
