РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
368870 Республика Дагестан,Тарумовка,,Судебный участок № 82 Тарумовского района,мировой,Мировой суд,"368870 Республика Дагестан, с. Тарумовка, ул. Ш.М. Магомедова, lд. 40/1",https://82.dag.msudrf.ru/,82.dag.msudrf.ru,нет,05MS0082
Алтайский край,Алейск,,Судебный участок Алейского района Алтайского края,мировой,Мировой суд,"658135, Алтайский край, г Алейск, ул Сердюка, д 154",https://alern.alt.msudrf.ru/,alern.alt.msudrf.ru,нет,22MS0042
Алтайский край,Алейск,,Судебный участок № 1 г. Алейска Алтайского края,мировой,Мировой суд,"658135, Алтайский край, г Алейск, ул Сердюка, д 154",https://ale1.alt.msudrf.ru/,ale1.alt.msudrf.ru,нет,22MS0040
Алтайский край,Алейск,,Судебный участок № 2 г. Алейска Алтайского края,мировой,Мировой суд,"658135, Алтайский край, г Алейск, ул Сердюка, д 154",https://ale2.alt.msudrf.ru/,ale2.alt.msudrf.ru,нет,22MS0041
Алтайский край,Алтайское,,Судебный участок № 1 Алтайского района Алтайского края,мировой,Мировой суд,"659650, Алтайский край, с Алтайское, ул Советская, влд 124",https://altrn.alt.msudrf.ru/,altrn.alt.msudrf.ru,нет,22MS0037
Алтайский край,Алтайское,,Судебный участок № 2 Алтайского района Алтайского края,мировой,Мировой суд,"659650, Алтайский край, с Алтайское, ул Советская, влд 124",https://altrn2.alt.msudrf.ru/,altrn2.alt.msudrf.ru,нет,22MS0144
Алтайский край,Баево,,Судебный участок Баевского района Алтайского края,мировой,Мировой суд,"658510, Алтайский край, с Баево, ул Ленина, д 41",https://baern.alt.msudrf.ru/,baern.alt.msudrf.ru,нет,22MS0043
Алтайский край,Барнаул,,Судебный участок № 1 Железнодорожного района г. Барнаула Алтайского края,мировой,Мировой суд,"656031, г Барнаул, ул Силикатная, д 5",https://zd1.alt.msudrf.ru/,zd1.alt.msudrf.ru,нет,22MS0008
Алтайский край,Барнаул,,Судебный участок № 1 Индустриального района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://ind1.alt.msudrf.ru/,ind1.alt.msudrf.ru,нет,22MS0129
Алтайский край,Барнаул,,Судебный участок № 1 Ленинского района г. Барнаула Алтайского края,мировой,Мировой суд,"656062, г Барнаул, ул Попова, д 68",https://len1.alt.msudrf.ru/,len1.alt.msudrf.ru,нет,22MS0137
