РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Алтайский край,Алейск,,Алейский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658130, Алтайский край, г Алейск, ул Советская, д 98",https://aleysky--alt.sudrf.ru/,aleysky--alt.sudrf.ru,да,22RS0001
Алтайский край,Алтайское,Алтайский,Алтайский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659650, Алтайский край, с Алтайское, ул Советская, д 180",https://altaisky--alt.sudrf.ru/,altaisky--alt.sudrf.ru,да,22RS0002
Алтайский край,Баево,Баевский,Баевский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658510, Алтайский край, с Баево, ул Ленина, д 41",https://baevsky--alt.sudrf.ru/,baevsky--alt.sudrf.ru,да,22RS0070
Алтайский край,Барнаул,,Алтайский краевой суд,областной,Областной и равный ему суд,"656043, г Барнаул, пр-кт Ленина, д 25",https://kraevoy--alt.sudrf.ru/,kraevoy--alt.sudrf.ru,да,22OS0000
Алтайский край,Барнаул,Железнодорожный,Железнодорожный районный суд г. Барнаула Алтайского края,районный_городской,"Районный, городской, межрайонный суд","656031, г Барнаул, ул Папанинцев, д 130",https://zheleznodorozhny--alt.sudrf.ru/,zheleznodorozhny--alt.sudrf.ru,да,22RS0066
Алтайский край,Барнаул,Индустриальный,Индустриальный районный суд г. Барнаула Алтайского края,районный_городской,"Районный, городской, межрайонный суд","656006, г Барнаул, ул Балтийская, д 28",https://industrialny--alt.sudrf.ru/,industrialny--alt.sudrf.ru,да,22RS0065
Алтайский край,Барнаул,Ленинский,Ленинский районный суд г. Барнаула Алтайского края,районный_городской,"Районный, городской, межрайонный суд","656055, г Барнаул, ул Георгия Исакова, д 204",https://leninsky--alt.sudrf.ru/,leninsky--alt.sudrf.ru,да,22RS0069
Алтайский край,Барнаул,Октябрьский,Октябрьский районный суд г. Барнаула Алтайского края,районный_городской,"Районный, городской, межрайонный суд","656038, г Барнаул, б-р 9 Января, д 19",https://oktabrsky--alt.sudrf.ru/,oktabrsky--alt.sudrf.ru,да,22RS0067
Алтайский край,Барнаул,Центральный,Центральный районный суд г. Барнаула Алтайского края,районный_городской,"Районный, городской, межрайонный суд","656031, г Барнаул, ул Папанинцев, д 130",https://centralny--alt.sudrf.ru/,centralny--alt.sudrf.ru,да,22RS0068
Алтайский край,Белокуриха,,Белокурихинский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659900, Алтайский край, г Белокуриха, ул Братьев Ждановых, д 23",https://belokurihinsky--alt.sudrf.ru/,belokurihinsky--alt.sudrf.ru,да,22RS0007
Алтайский край,Бийск,,Бийский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659300, Алтайский край, г Бийск, ул Владимира Ленина, д 149",https://biyskygor--alt.sudrf.ru/,biyskygor--alt.sudrf.ru,да,22RS0013
Алтайский край,Бийск,Бийский,Бийский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659316, Алтайский край, г Бийск, ул Социалистическая, д 5/2",https://biysky--alt.sudrf.ru/,biysky--alt.sudrf.ru,да,22RS0003
Алтайский край,Благовещенка,Благовещенский,Благовещенский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658670, Алтайский край, рп Благовещенка, пер Кучеровых, д 65",https://blagovechensky--alt.sudrf.ru/,blagovechensky--alt.sudrf.ru,да,22RS0004
Алтайский край,Бурла,Бурлинский,Бурлинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658810, Алтайский край, с Бурла, ул Победы, зд 27",https://burlinsky--alt.sudrf.ru/,burlinsky--alt.sudrf.ru,да,22RS0005
Алтайский край,Быстрый Исток,Быстроистокский,Быстроистокский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659560, Алтайский край, с Быстрый Исток, ул Ленина, д 43",https://istoksky--alt.sudrf.ru/,istoksky--alt.sudrf.ru,да,22RS0006
Алтайский край,Волчиха,Волчихинский,Волчихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658930, Алтайский край, с Волчиха, ул 1 Мая, зд 80",https://volchihinsky--alt.sudrf.ru/,volchihinsky--alt.sudrf.ru,да,22RS0016
Алтайский край,Гальбштадт,,Районный суд Немецкого национального района Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658870, Алтайский край, с Гальбштадт, ул Тракторная, д 6",https://nemecky--alt.sudrf.ru/,nemecky--alt.sudrf.ru,да,22RS0035
Алтайский край,Горняк,Локтевский,Локтевский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658422, Алтайский край, г Горняк, ул Миронова, д 130А",https://loktevsky--alt.sudrf.ru/,loktevsky--alt.sudrf.ru,да,22RS0032
Алтайский край,Завьялово,Завьяловский,Завьяловский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658620, Алтайский край, с Завьялово, ул Школьная, влд 1",https://zavialovsky--alt.sudrf.ru/,zavialovsky--alt.sudrf.ru,да,22RS0019
Алтайский край,Залесово,Залесовский,Залесовский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659220, Алтайский край, с Залесово, ул Партизанская, д 13",https://zalesovsky--alt.sudrf.ru/,zalesovsky--alt.sudrf.ru,да,22RS0020
Алтайский край,Заринск,,Заринский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659100, Алтайский край, г Заринск, ул Металлургов, влд 2",https://zarynsky--alt.sudrf.ru/,zarynsky--alt.sudrf.ru,да,22RS0008
Алтайский край,Заринск,Заринский,Заринский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659106, Алтайский край, г Заринск, ул Комсомольская, зд 15",https://zarinsky--alt.sudrf.ru/,zarinsky--alt.sudrf.ru,да,22RS0021
Алтайский край,Змеиногорск,,Змеиногорский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658481, Алтайский край, г Змеиногорск, ул Ленина, зд 41",https://zmeinogorsky--alt.sudrf.ru/,zmeinogorsky--alt.sudrf.ru,да,22RS0009
Алтайский край,Зональное,Зональный,Зональный районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659400, Алтайский край, с Зональное, ул Ленина, зд 9",https://zonalny--alt.sudrf.ru/,zonalny--alt.sudrf.ru,да,22RS0022
Алтайский край,Калманка,Калманский,Калманский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659040, Алтайский край, с Калманка, ул Ленина, д 14",https://kalmansky--alt.sudrf.ru/,kalmansky--alt.sudrf.ru,да,22RS0023
Алтайский край,Камень-на-Оби,,Каменский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658700, Алтайский край, г Камень-на-Оби, ул Пушкина, д 20",https://kamensky--alt.sudrf.ru/,kamensky--alt.sudrf.ru,да,22RS0010
Алтайский край,Ключи,Ключевский,Ключевский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658980, Алтайский край, с Ключи, ул Делегатская, д 4",https://kluchevsky--alt.sudrf.ru/,kluchevsky--alt.sudrf.ru,да,22RS0024
Алтайский край,Косиха,Косихинский,Косихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659820, Алтайский край, с Косиха, ул Комсомольская, д 1",https://kosihinsky--alt.sudrf.ru/,kosihinsky--alt.sudrf.ru,да,22RS0025
Алтайский край,Красногорское,Красногорский,Красногорский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659500, Алтайский край, с Красногорское, ул Советская, д 89",https://krasnogorsky--alt.sudrf.ru/,krasnogorsky--alt.sudrf.ru,да,22RS0026
Алтайский край,Краснощёково,Краснощековский,Краснощековский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658340, Алтайский край, с Краснощёково, ул Ленина, зд 141",https://krasnochekovsky--alt.sudrf.ru/,krasnochekovsky--alt.sudrf.ru,да,22RS0027
Алтайский край,Крутиха,Крутихинский,Крутихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658750, Алтайский край, с Крутиха, ул Ленинградская, влд 35",https://krutihinsky--alt.sudrf.ru/,krutihinsky--alt.sudrf.ru,да,22RS0028
Алтайский край,Кулунда,Кулундинский,Кулундинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658920, Алтайский край, Кулундинский р-н, с Кулунда, ул Советская, д 32",https://kulundinsky--alt.sudrf.ru/,kulundinsky--alt.sudrf.ru,да,22RS0029
Алтайский край,Курья,Курьинский,Курьинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658320, Алтайский край, с Курья, ул Центральная, влд 84",https://kyrinsky--alt.sudrf.ru/,kyrinsky--alt.sudrf.ru,да,22RS0030
Алтайский край,Кытманово,Кытмановский,Кытмановский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659240, Алтайский край, с Кытманово, ул Советская, зд 15",https://kytmanovsky--alt.sudrf.ru/,kytmanovsky--alt.sudrf.ru,да,22RS0031
Алтайский край,Мамонтово,Мамонтовский,Мамонтовский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658560, Алтайский край, с Мамонтово, ул Партизанская, влд 163",https://mamontovsky--alt.sudrf.ru/,mamontovsky--alt.sudrf.ru,да,22RS0033
Алтайский край,Михайловское,Михайловский,Михайловский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658960, Алтайский край, с Михайловское, ул Центральная, д 9",https://mihalovsky--alt.sudrf.ru/,mihalovsky--alt.sudrf.ru,да,22RS0034
Алтайский край,Новоалтайск,,Новоалтайский городской суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658087, Алтайский край, г Новоалтайск, ул Красноармейская, д 20",https://novaltaisky--alt.sudrf.ru/,novaltaisky--alt.sudrf.ru,да,22RS0015
Алтайский край,Новоегорьевское,Егорьевский,Егорьевский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658280, Алтайский край, с Новоегорьевское, ул Машинцева, влд 21",https://egorevsky--alt.sudrf.ru/,egorevsky--alt.sudrf.ru,да,22RS0017
Алтайский край,Павловск,Павловский,Павловский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659000, Алтайский край, с Павловск, ул Мелиораторов, влд 19",https://pavlovsky--alt.sudrf.ru/,pavlovsky--alt.sudrf.ru,да,22RS0037
Алтайский край,Панкрушиха,Панкрушихинский,Панкрушихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658760, Алтайский край, с Панкрушиха, ул Советская, влд 18",https://pankrushihinsky--alt.sudrf.ru/,pankrushihinsky--alt.sudrf.ru,да,22RS0038
Алтайский край,Петропавловское,Петропавловский,Петропавловский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659660, Алтайский край, с Петропавловское, ул Ленина, влд 95",https://petropavlovsky--alt.sudrf.ru/,petropavlovsky--alt.sudrf.ru,да,22RS0039
Алтайский край,Поспелиха,Поспелихинский,Поспелихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659700, Алтайский край, с Поспелиха, ул Ленинская, д 76",https://pospelihinsky--alt.sudrf.ru/,pospelihinsky--alt.sudrf.ru,да,22RS0040
Алтайский край,Ребриха,Ребрихинский,Ребрихинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658540, Алтайский край, с Ребриха, ул Ленина, зд 136",https://rebrihinsky--alt.sudrf.ru/,rebrihinsky--alt.sudrf.ru,да,22RS0041
Алтайский край,Родино,Родинский,Родинский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","659780, Алтайский край, с Родино, ул Ворошилова, д 4",https://rodinsky--alt.sudrf.ru/,rodinsky--alt.sudrf.ru,да,22RS0042
Алтайский край,Романово,Романовский,Романовский районный суд Алтайского края,районный_городской,"Районный, городской, межрайонный суд","658640, Алтайский край, с. Романово, ул. Советская, д. 91 А",https://romanovsky--alt.sudrf.ru/,romanovsky--alt.sudrf.ru,да,22RS0043
